state,Total Population 3 years and over enrolled in school,Total Kindergarten,Percent Kindergarten,Total Elementary: grade 1 to grade 4,Percent Elementary grade 1 to grade 4,Total Elementary grade 5 to grade 8,Percent Elementary grade 5 to grade 8,Total High school grade 9 to grade 12,Percent High school grade 9 to grade 12,"Total College, undergraduate",Percent College undergraduate,Total Graduate professional school,Percent Graduate professional school
National,83054762,4221320,5.0825743,16511632,19.88042,16675078,20.07720882,17176546,20.68098877,19291233,23.22712453,4165602,5.015488456
Alabama,1193757,61563,5.2,244929,20.5,252167,21.1,254491,21.3,263603,22.1,50653,4.2
Alaska,192109,10194,5.3,40478,21.1,40426,21,41296,21.5,38467,20,10718,5.6
Arizona,1750958,89375,5.1,364599,20.8,362857,20.7,371213,21.2,399557,22.8,79572,4.5
Arkansas,745905,41150,5.5,157282,21.1,152906,20.5,155003,20.8,162250,21.8,27518,3.7
California,10551711,521601,4.9,1989541,18.9,2033456,19.3,2196122,20.8,2705216,25.6,512017,4.9
Colorado,1394890,71122,5.1,282927,20.3,280541,20.1,276496,19.8,319001,22.9,78072,5.6
Connecticut,932279,42006,4.5,169891,18.2,184099,19.7,201320,21.6,221225,23.7,54813,5.9
Delaware,232558,11804,5.1,44120,19,45662,19.6,47395,20.4,55424,23.8,13762,5.9
District of Columbia,164694,7433,4.5,24130,14.7,19366,11.8,24411,14.8,48492,29.4,26354,16
Florida,4682150,229205,4.9,903981,19.3,918984,19.6,959728,20.5,1153444,24.6,230350,4.9
Georgia,2766817,144087,5.2,560977,20.3,572667,20.7,572894,20.7,608224,22,128457,4.6
Hawaii,333842,17210,5.2,64367,19.3,66178,19.8,64985,19.5,81523,24.4,17932,5.4
Idaho,445695,23643,5.3,96956,21.8,97267,21.8,94610,21.2,95726,21.5,15989,3.6
Illinois,3384628,164970,4.9,663190,19.6,680844,20.1,703720,20.8,744642,22,195527,5.8
Indiana,1717877,85517,5,358613,20.9,355958,20.7,360092,21,385269,22.4,72502,4.2
Iowa,810892,43057,5.3,161092,19.9,162256,20,159813,19.7,191763,23.6,37362,4.6
Kansas,789812,41435,5.2,159328,20.2,159363,20.2,161415,20.4,177618,22.5,39953,5.1
Kentucky,1085773,57096,5.3,224910,20.7,230607,21.2,226312,20.8,236507,21.8,47893,4.4
Louisiana,1176907,62450,5.3,255723,21.7,249986,21.2,239185,20.3,239586,20.4,47819,4.1
Maine,296853,14400,4.9,57683,19.4,58700,19.8,65041,21.9,70704,23.8,14238,4.8
Maryland,1564161,77947,5,292780,18.7,292987,18.7,311720,19.9,375496,24,114761,7.3
Massachusetts,1748398,78297,4.5,301022,17.2,319730,18.3,343004,19.6,455766,26.1,139453,8
Michigan,2562133,123329,4.8,486199,19,511589,20,543029,21.2,628804,24.5,126569,4.9
Minnesota,1400964,71879,5.1,284386,20.3,283845,20.3,292619,20.9,309837,22.1,65236,4.7
Mississippi,802804,46835,5.8,167958,20.9,166040,20.7,163174,20.3,178925,22.3,30618,3.8
Missouri,1529503,79077,5.2,309767,20.3,314428,20.6,312070,20.4,339983,22.2,80004,5.2
Montana,236199,13644,5.8,50646,21.4,48834,20.7,48194,20.4,51908,22,9699,4.1
Nebraska,508455,26471,5.2,103166,20.3,102921,20.2,101656,20,113658,22.4,27472,5.4
Nevada,689934,37383,5.4,150053,21.7,147560,21.4,154118,22.3,140887,20.4,28698,4.2
New Hampshire,316403,14685,4.6,58833,18.6,62423,19.7,67875,21.5,76339,24.1,18092,5.7
New Jersey,2267652,113860,5,440693,19.4,457550,20.2,482369,21.3,483479,21.3,119337,5.3
New Mexico,557777,28943,5.2,115132,20.6,111549,20,114784,20.6,131237,23.5,27116,4.9
New York,4926760,237302,4.8,924161,18.8,932783,18.9,1005920,20.4,1212687,24.6,311579,6.3
North Carolina,2533803,130128,5.1,509457,20.1,515687,20.4,524092,20.7,594123,23.4,118218,4.7
North Dakota,181491,10189,5.6,36480,20.1,33096,18.2,32976,18.2,49691,27.4,7998,4.4
Ohio,2922228,143674,4.9,581091,19.9,598638,20.5,620393,21.2,657827,22.5,142552,4.9
Oklahoma,999903,56800,5.7,217727,21.8,208531,20.9,200593,20.1,209843,21,39252,3.9
Oregon,960816,48535,5.1,190728,19.9,188777,19.6,195439,20.3,235222,24.5,46536,4.8
Pennsylvania,3031943,143093,4.7,591923,19.5,608132,20.1,635645,21,700536,23.1,166850,5.5
Rhode Island,266870,10927,4.1,45112,16.9,49074,18.4,51551,19.3,80254,30.1,15744,5.9
South Carolina,1202103,72787,6.1,244837,20.4,242236,20.2,248431,20.7,274471,22.8,54900,4.6
South Dakota,217046,12116,5.6,46957,21.6,43364,20,44519,20.5,46411,21.4,9692,4.5
Tennessee,1584716,80941,5.1,329430,20.8,335822,21.2,338312,21.3,338590,21.4,72458,4.6
Texas,7488362,414700,5.5,1632917,21.8,1589151,21.2,1548893,20.7,1538439,20.5,306353,4.1
Utah,951611,51913,5.5,204305,21.5,196741,20.7,191989,20.2,212762,22.4,34060,3.6
Vermont,149328,6591,4.4,26602,17.8,27318,18.3,31499,21.1,40801,27.3,7776,5.2
Virginia,2155541,106524,4.9,416704,19.3,415000,19.3,425272,19.7,524307,24.3,140239,6.5
Washington,1724293,89591,5.2,351923,20.4,351641,20.4,361369,21,387707,22.5,78871,4.6
West Virginia,405213,20496,5.1,84347,20.8,85121,21,84568,20.9,89679,22.1,18764,4.6
Wisconsin,1462332,86034,5.9,290452,19.9,293413,20.1,305085,20.9,348754,23.8,61959,4.2
Wyoming,149521,7755,5.2,32001,21.4,30973,20.7,29086,19.5,33450,22.4,6776,4.5
Puerto Rico,906392,39556,4.4,169126,18.7,185834,20.5,190760,21,231119,25.5,36469,4
